empresa,pais,ventas,beneficios,activos,valor de mercado
SK Hynix,South Korea,27037.0,4030.1,65520.0,84248.0
Prologis,United States,4439.0,1481.8,56065.0,84233.0
Gilead Sciences,United States,24642.0,123.0,68407.0,84029.0
Fiserv,United States,14852.0,958.0,74619.0,83386.0
Foshan Haitian Flavouring and Food,China,3271.0,927.7,4518.0,82962.0
Sinopec,China,271077.0,4770.0,265116.0,82596.0
Mondelez International,United States,26581.0,3572.0,67810.0,82578.0
Automatic Data Processing,United States,14591.0,2482.0,49326.0,82567.0
Hikvision,China,9148.0,1921.7,13560.0,81690.0
Atlas Copco,Sweden,10841.0,1605.6,14216.0,80390.0
Air Liquide,France,23353.0,2776.0,51361.0,79873.0
BASF,Germany,67428.0,-1208.4,100860.0,79716.0
Zoetis,United States,6675.0,1638.0,13609.0,79628.0
MercadoLibre,Argentina,3973.0,-0.7,6526.0,79387.0
BNP Paribas,France,102681.0,7553.5,3044793.0,79094.0
Coupang,South Korea,11967.0,-475.0,5067.0,78780.0
Truist Financial,United States,24334.0,4899.0,517537.0,77763.0
Rosneft,Russia,70790.0,2031.7,207532.0,77657.0
Crown Castle International,United States,5840.0,1056.0,38768.0,77629.0
EMD Group,Germany,19988.0,2265.1,51639.0,77553.0
Infosys,India,13534.0,2606.7,14824.0,77511.0
Duke Energy,United States,23868.0,1377.0,167282.0,77437.0
Dell Technologies,United States,94329.0,3250.0,123415.0,77350.0
Recruit Holdings ,Japan,21036.0,1226.3,20406.0,77264.0
FedEx,United States,78652.0,3023.0,82793.0,76310.0
Hong Kong Exchanges,Hong Kong,2474.0,1483.4,51472.0,76082.0
PNC Financial Services,United States,17354.0,8410.0,474414.0,75840.0
Becton Dickinson,United States,18207.0,1600.0,54748.0,75819.0
Enbridge,Canada,28161.0,2507.3,125805.0,75571.0
Baidu,China,15549.0,3266.4,50874.0,75363.0
Bank of Nova Scotia,Canada,30656.0,5078.6,911229.0,75271.0
Nidec,Japan,14613.0,876.9,20470.0,75117.0
Shenzhen Mindray Bio-Medical Electronics,China,2858.0,909.4,4520.0,74959.0
CSX,United States,10583.0,2765.0,40271.0,74917.0
Activision Blizzard,United States,8090.0,2197.0,23109.0,74748.0
CME Group,United States,4884.0,2105.2,124744.0,74533.0
Adyen,Netherlands,4151.0,275.3,5088.0,73510.0
Norfolk Southern,United States,9789.0,2010.0,38414.0,73510.0
Gazprom,Russia,90453.0,-921.2,294924.0,73474.0
NetEase,China,10689.0,1729.8,21694.0,73372.0
Chubb,Switzerland,36052.0,3533.0,172207.0,73264.0
EssilorLuxottica,France,16449.0,96.9,64014.0,72811.0
Shin-Etsu Chemical,Japan,13674.0,2627.3,31513.0,72520.0
KDDI,Japan,49251.0,6159.3,98412.0,72138.0
Deutsche Post,Germany,76157.0,3396.0,70485.0,72116.0
Westpac Banking Group,Australia,21921.0,1549.7,654631.0,71773.0
Sherwin-Williams,United States,18362.0,2030.4,20402.0,71435.0
China Yangtze Power,China,8261.0,3798.0,50002.0,71368.0
Nintendo,Japan,15832.0,4110.9,22549.0,71212.0
Illinois Tool Works,United States,12574.0,2109.0,15612.0,70901.0
Tokyo Electron,Japan,12019.0,2016.8,12305.0,70196.0
BMW Group,Germany,112846.0,4303.4,282007.0,69844.0
Mitsubishi UFJ Financial,Japan,56018.0,5159.9,3406542.0,69680.0
Brookfield Asset Management,Canada,63400.0,-175.9,343696.0,69674.0
ConocoPhillips,United States,18765.0,-2701.0,62618.0,69081.0
VMware,United States,11767.0,2058.0,29016.0,68757.0
Southern Company,United States,20241.0,3134.0,122935.0,68690.0
Colgate-Palmolive,United States,16471.0,2695.0,15920.0,68479.0
Moderna,United States,803.0,-747.1,7337.0,68355.0
Coinbase,United States,1277.0,322.3,5855.0,68126.0
NAB - National Australia Bank,Australia,18403.0,1733.3,621321.0,68073.0
IntercontinentalExchange,United States,7642.0,2089.0,126200.0,67936.0
ABB,Switzerland,26043.0,5078.9,41088.0,67823.0
AXA Group,France,129497.0,3405.1,951453.0,67752.0
Snowflake,United States,592.0,-539.1,5922.0,67192.0
Orsted,Denmark,5674.0,2310.7,32336.0,66834.0
Safran,France,18959.0,401.3,48368.0,66778.0
PetroChina,China,280663.0,2863.8,380459.0,66661.0
Industrial Bank ,China,53806.0,9652.8,1207231.0,66531.0
HCA Healthcare,United States,51533.0,3754.0,47490.0,66353.0
Investor AB,Sweden,9574.0,5735.1,69533.0,66301.0
Dominion Energy,United States,15182.0,-401.0,95905.0,66189.0
Autodesk,United States,3791.0,1208.2,7280.0,65913.0
Jiangsu Hengrui Medicine,China,3640.0,835.1,4777.0,65777.0
Twilio,United States,1762.0,-491.0,9487.0,65675.0
Reckitt Benckiser Group,United Kingdom,17944.0,1522.2,42775.0,65651.0
Saudi National Bank,Saudi Arabia,6581.0,3048.8,159784.0,65280.0
Adidas,Germany,22622.0,493.6,25759.0,64939.0
Marsh & McLennan,United States,17198.0,2016.0,33049.0,64928.0
BYD,China,22336.0,584.7,30943.0,64882.0
Saudi Telecom,Saudi Arabia,15710.0,2954.2,32512.0,64313.0
Global Payments,United States,7424.0,584.5,44202.0,64271.0
Ecolab,United States,12351.0,-1205.1,18126.0,63838.0
Equinor,Norway,45428.0,-5369.7,121972.0,63665.0
Air Products & Chemicals,United States,8977.0,1897.1,26088.0,63613.0
Bayer ,Germany,47195.0,-11964.0,150313.0,63552.0
Wuxi Apptec,China,2402.0,425.2,7078.0,63476.0
ANZ,Australia,20339.0,2422.8,747058.0,63446.0
Equinix,United States,5976.0,369.8,27007.0,63431.0
Al Rajhi Bank,Saudi Arabia,5646.0,2823.7,124967.0,62782.0
LG Chem,South Korea,25819.0,434.5,38101.0,62513.0
HDFC,India,16181.0,2361.8,104967.0,62444.0
Capital One,United States,31600.0,2674.0,421602.0,62412.0
Workday,United States,4299.0,-282.4,8718.0,62293.0
Zurich Insurance Group,Switzerland,58351.0,3792.9,413776.0,61664.0
VINCI,France,50079.0,1414.7,111545.0,61362.0
Daikin Industries,Japan,22859.0,1418.5,29524.0,60954.0
Hon Hai Precision ,Taiwan,181970.0,3457.2,130766.0,60407.0
Moody's,United States,5371.0,1778.0,12409.0,60262.0
Dassault Systemes,France,5076.0,559.7,15862.0,59675.0
Santander,Spain,73588.0,-9998.7,1845419.0,59604.0
Bank of Montreal,Canada,24516.0,4124.7,761839.0,59436.0
Richemont,Switzerland,13798.0,248.9,38438.0,59163.0
Analog Devices,United States,5858.0,1405.4,21440.0,58842.0
Atlassian,Australia,1803.0,-1187.1,3561.0,58705.0
Novatek,Russia,9646.0,937.5,27934.0,58417.0
Illumina,United States,3239.0,656.0,7585.0,58214.0
Boston Scientific,United States,9913.0,-139.0,30777.0,58113.0
Nongfu Spring,China,3314.0,763.5,3954.0,57825.0
Progressive,United States,42638.0,5698.2,60757.0,57790.0
Muyuan Foodstuff,China,6794.0,3669.8,15241.0,57559.0
UBS,Switzerland,32242.0,6536.8,1125765.0,57257.0
China Life Insurance,China,113848.0,7255.4,651916.0,57257.0
Stellantis,Netherlands,98808.0,33.1,122025.0,57042.0
Waste Management,United States,15218.0,1496.0,29668.0,56997.0
Vertex Pharmaceuticals,United States,6209.0,2711.6,11752.0,56783.0
Wuxi Biologics,China,818.0,245.3,4429.0,56379.0
Eaton,Ireland,17858.0,1410.0,31824.0,56229.0
Humana,United States,77085.0,3367.0,35077.0,56156.0
Twitter,United States,3716.0,-1135.6,13379.0,56003.0
MetLife,United States,67842.0,5407.0,795146.0,55779.0
Northrop Grumman,United States,36799.0,3189.0,44469.0,55762.0
Prudential,United Kingdom,54751.0,2098.6,469502.0,55742.0
Freeport-McMoRan,United States,13873.0,590.0,42144.0,55626.0
DBS,Singapore,13194.0,3422.5,491909.0,55443.0
Edwards Lifesciences,United States,4386.0,823.4,7237.0,55374.0
Emerson Electric,United States,16797.0,2084.0,23678.0,55323.0
Infineon Technologies,Germany,10580.0,473.1,26219.0,55298.0
Gree Electric Appliances,China,24314.0,2323.0,40264.0,55267.0
Glencore International,Switzerland,142360.0,-1963.2,118000.0,55159.0
NXP Semiconductors,Netherlands,8612.0,52.0,19847.0,54978.0
Philips,Netherlands,22269.0,1365.0,34168.0,54800.0
Spotify Technology,Luxembourg,9009.0,-658.0,7740.0,54722.0
Anglo American,United Kingdom,30801.0,2068.7,62534.0,54570.0
MediaTek,Taiwan,10941.0,1389.6,19002.0,54443.0
Aon,Ireland,11069.0,1969.0,32114.0,54037.0
Hyundai Motor,South Korea,88142.0,1207.3,192713.0,53970.0
Regeneron Pharmaceuticals,United States,8497.0,3513.2,17163.0,53845.0
Pernod Ricard,France,9073.0,299.8,38875.0,53384.0
Intesa Sanpaolo,Italy,45811.0,3735.7,1226748.0,53316.0
Takeda Pharmaceutical,Japan,29964.0,1692.5,119000.0,53265.0
Petrobras,Brazil,52745.0,1378.0,190100.0,53254.0
Norilsk Nickel,Russia,15724.0,3509.3,20706.0,53229.0
Luzhou Lao Jiao,China,2234.0,873.9,5355.0,53154.0
Bank Central Asia,Indonesia,5950.0,1865.7,76553.0,53110.0
Murata Manufacturing,Japan,14832.0,1990.8,23259.0,52877.0
Honda Motor,Japan,121803.0,3882.8,201271.0,52776.0
ICICI Bank,India,21294.0,1989.9,207938.0,52712.0
Vodafone,United Kingdom,49742.0,2825.8,183944.0,52581.0
Newmont Mining,United States,11417.0,2829.0,41369.0,52400.0
M3,Japan,1484.0,297.5,2404.0,52394.0
General Dynamics,United States,37925.0,3167.0,51308.0,52307.0
LukOil,Russia,71800.0,209.7,81467.0,52252.0
